####### THIS IS A LOGFILE FOR THE DYNAMIC MASKING FACE EXPERIMENT ######
Participant Number: 2
Date and Time: 2015-10-01 17:06:30.135591
age: 30 ,gender: 0 ,environ: 2 ,occup: 2 ,advert: 0
###################################################################

time	cumtime	express	ident	button	filename	evaluation	stopRT	choiceRT	maskNum	maskList
2015-10-01 17:06:50	0.0	5	1	fea	img/m_sup_cut.png	ERR	8312.0	10960.0	9	12-13-35-31-43-44-23-34-36
2015-10-01 17:07:01	11.25741	2	1	dis	img/m_ang_cut.png	ERR	11469.0	13949.0	12	22-3-14-23-44-7-11-47-43-39-21-26
2015-10-01 17:07:16	25.50428	1	1	sup	img/m_sad_cut.png	ERR	21851.0	24491.0	22	46-30-17-22-32-24-5-45-19-27-23-39-16-14-3-1-12-37-43-42-29-15
2015-10-01 17:07:40	50.28796	3	1	sup	img/m_fea_cut.png	ERR	11677.0	13221.0	12	15-30-16-47-44-19-35-33-9-2-21-40
2015-10-01 17:07:54	63.80191	5	0	fea	img/f_sup_cut.png	ERR	16650.0	22794.0	17	40-46-42-39-19-41-8-31-21-13-23-43-30-17-5-11-34
2015-10-01 17:08:17	86.89621	0	0	hap	img/f_hap_cut.png	HIT	2124.0	4388.0	3	21-41-3
2015-10-01 17:08:22	91.57697	1	0	fea	img/f_sad_cut.png	ERR	18022.0	21494.0	19	15-37-30-35-25-29-27-40-18-0-11-43-23-46-28-3-10-36-19
2015-10-01 17:08:43	113.36841	2	0	ang	img/f_ang_cut.png	HIT	15722.0	17090.0	16	24-14-27-31-16-2-1-9-35-0-6-46-22-23-29-15
2015-10-01 17:09:01	130.7534	0	1	hap	img/m_hap_cut.png	HIT	18098.0	20186.0	19	1-4-23-33-5-11-14-41-28-25-3-19-8-17-31-45-12-24-21
2015-10-01 17:09:21	151.2375	6	0	fea	img/f_ntr_cut.png	ERR	10080.0	12760.0	11	33-30-38-18-29-42-34-10-28-31-13
2015-10-01 17:09:34	164.30112	6	1	ntr	img/m_ntr_cut.png	HIT	18041.0	20161.0	19	45-35-5-32-31-28-21-17-44-38-16-24-8-42-23-4-6-29-18
2015-10-01 17:09:55	184.75351	3	0	hap	img/f_fea_cut.png	ERR	10941.0	12389.0	11	13-23-1-18-37-7-28-16-8-40-45
2015-10-01 17:10:08	197.442	4	1	ang	img/m_dis_cut.png	ERR	5185.0	7641.0	6	47-23-25-34-29-27
2015-10-01 17:10:15	205.39086	4	0	ang	img/f_dis_cut.png	ERR	5124.0	7344.0	6	10-28-30-18-26-31
2015-10-01 17:10:23	213.03777	2	1	ang	img/m_ang_cut.png	HIT	15271.0	17023.0	16	38-29-46-16-20-26-15-37-35-44-36-10-19-30-39-27
2015-10-01 17:10:40	230.35354	3	1	fea	img/m_fea_cut.png	HIT	8946.0	9810.0	9	41-19-22-11-24-36-23-34-30
2015-10-01 17:10:51	240.46362	3	0	sup	img/f_fea_cut.png	ERR	9113.0	10785.0	10	39-12-43-36-40-32-31-34-46-11
2015-10-01 17:11:02	251.53968	4	0	dis	img/f_dis_cut.png	HIT	11624.0	12920.0	12	25-22-12-35-7-34-44-23-16-45-15-2
2015-10-01 17:11:15	264.7558	1	0	ntr	img/f_sad_cut.png	ERR	20228.0	21900.0	21	33-39-37-16-38-28-15-6-42-30-43-45-27-0-4-21-1-26-32-17-47
2015-10-01 17:11:37	286.94511	5	1	fea	img/m_sup_cut.png	ERR	9424.0	16768.0	10	15-23-11-35-8-19-18-0-29-40
2015-10-01 17:11:54	304.01636	0	1	hap	img/m_hap_cut.png	HIT	1672.0	3072.0	2	29-35
2015-10-01 17:11:57	307.38178	1	1	ntr	img/m_sad_cut.png	ERR	14749.0	16981.0	15	2-27-7-36-26-33-20-8-9-39-10-3-44-40-43
2015-10-01 17:12:15	324.65986	4	1	dis	img/m_dis_cut.png	HIT	7675.0	8907.0	8	37-16-21-3-6-43-22-0
2015-10-01 17:12:24	333.86313	5	0	sup	img/f_sup_cut.png	HIT	17289.0	18833.0	18	43-30-5-15-41-28-4-42-44-35-1-47-37-39-45-31-21-6
