,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25,nan,AU9,AU7,AU6,AU22+23+25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,-19.467061436,34.7150259067,-8.80829015544,36.0967184801,13.9896373057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p002,-37.0742465082,68.782161235,-9.43396226415,65.3516295026,31.7324185249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p003,-28.0351048269,21.843003413,-1.70648464164,22.866894198,63.8225255973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6813186813,-7.69230769231,-100.0,-7.69230769231,-53.8461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85714285714,140.0,380.0,60.0,-100.0
p004,-8.77708409842,-2.05655526992,57.3264781491,7.96915167095,18.766066838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p005,-3.9705280393,-33.8108882521,-34.670487106,-23.2091690544,48.7106017192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p006,-15.0897882605,19.3245778612,98.1238273921,16.3227016886,28.330206379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.1428571429,-100.0,-100.0,-50.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7142857143,-20.0,-100.0,-46.6666666667,-20.0
p007,-3.12764158918,10.9467455621,-18.3431952663,-10.0591715976,26.0355029586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06912442396,-32.2580645161,-100.0,-35.4838709677,35.4838709677,-42.8571428571,100.0,-100.0,77.7777777778,33.3333333333
p008,-8.29493087558,14.5161290323,38.7096774194,13.4408602151,8.87096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.2857142857,-100.0,-100.0,-100.0,200.0
