,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4,nan,AU10+16+19+25+26,AU9,AU6,AU4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,-23.8095238095,14.2857142857,-20.0,45.4545454545,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.6588072122,50.346740638,-49.5145631068,-14.5631067961,25.2427184466
p002,-9.52380952381,13.3928571429,-12.5,19.3181818182,64.0625,0.0,0.0,0.0,0.0,0.0,82.8571428571,-65.7142857143,-100.0,-56.3636363636,-40.0,0.0,0.0,0.0,0.0,0.0,-8.57142857143,37.1428571429,-100.0,-12.7272727273,20.0,0.0,0.0,0.0,0.0,0.0,-41.2008281573,75.1552795031,-100.0,-39.9209486166,30.4347826087
p003,1.53846153846,-38.021978022,130.769230769,50.2097902098,71.9230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.1111111111,49.3333333333,-4.0,37.696969697,4.0
p004,-0.460829493088,-5.99078341014,35.4838709677,26.6862170088,-22.5806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.4453781513,49.7478991597,-36.4705882353,-1.17647058824,-2.94117647059
p005,14.2857142857,-42.8571428571,100.0,45.4545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.2351453856,50.4930467762,-21.4159292035,-28.1737731295,-40.5309734513
p006,-10.6842737095,-26.5306122449,31.0924369748,37.5095492743,33.6134453782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2857142857,-31.4285714286,20.0,30.9090909091,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.2857142857,39.5604395604,42.3076923077,-7.69230769231,-57.6923076923
p007,8.59985785359,-7.88912579957,-4.4776119403,-2.30664857531,-37.3134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823487289653,23.7379162191,-51.8796992481,-21.2576896787,-54.8872180451
p008,5.82010582011,-45.2380952381,83.3333333333,39.3939393939,47.2222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61949898443,9.68178740691,-6.16113744076,-26.5833692374,-36.018957346
