,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5,nan,AU2,AU1,AU20+25,AU5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,0.0,0.0,0.0,0.0,0.0,-10.0034936532,-1.80505415162,-26.3537906137,15.523465704,125.270758123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.6405529954,14.2857142857,71.4285714286,90.4761904762,14.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p002,0.0,0.0,0.0,0.0,0.0,-9.20137801441,-3.68932038835,-13.786407767,-3.68932038835,157.86407767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1388499299,-100.0,-100.0,2.02898550725,-16.5217391304,-12.8219029547,74.7899159664,-100.0,74.7899159664,-100.0,-31.1827956989,77.7777777778,166.666666667,18.5185185185,77.7777777778
p003,0.0,0.0,0.0,0.0,0.0,-11.5207373272,37.1428571429,105.714285714,-46.6666666667,151.428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.02556299452,-44.6540880503,-1.88679245283,-36.2683438155,206.918238994,0.0,0.0,0.0,0.0,0.0,23.8709677419,-100.0,-100.0,6.66666666667,-100.0
p004,0.0,0.0,0.0,0.0,0.0,-11.9667013528,-22.5806451613,16.1290322581,56.9892473118,-35.4838709677,0.0,0.0,0.0,0.0,0.0,17.5990200082,62.0253164557,143.037974684,-86.4978902954,-79.746835443,-11.5207373272,-100.0,-100.0,128.571428571,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p005,0.0,0.0,0.0,0.0,0.0,-4.40392706872,-30.4347826087,-47.8260869565,6.66666666667,53.0434782609,0.0,0.0,0.0,0.0,0.0,3.22580645161,33.3333333333,0.0,33.3333333333,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p006,0.0,0.0,0.0,0.0,0.0,-29.3000608643,99.2452830189,81.1320754717,24.7798742138,87.1698113208,0.0,0.0,0.0,0.0,0.0,2.41300482601,-100.0,70.0787401575,4.98687664042,-100.0,-26.6553480475,-100.0,-36.8421052632,-1.75438596491,363.157894737,-100.0,-100.0,500.0,166.666666667,-100.0,-3.22580645161,-100.0,50.0,33.3333333333,-100.0
p007,0.0,0.0,0.0,0.0,0.0,19.1066997519,23.0769230769,-7.69230769231,-58.9743589744,23.0769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.4365167647,57.6354679803,130.541871921,-10.6732348112,112.807881773,35.4838709677,-100.0,-100.0,-33.3333333333,-100.0,0.0,0.0,0.0,0.0,0.0
p008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.91194420227,42.7027027027,58.9189189189,-66.8468468468,155.135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
