,ang,ang,ang,ang,fea,fea,fea,fea,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sup,sup,sup,sup,hap,hap,hap,hap,dis,dis,dis,dis
,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83397190294,7.40740740741,-0.529100529101,-22.2222222222,0.0,0.0,0.0,0.0
p002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25298251348,-41.7061611374,-19.5666892349,1.23222748815,0.0,0.0,0.0,0.0
p003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.9229899024,12.2721749696,21.645547648,17.8128797084,0.0,0.0,0.0,0.0
p004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9310344828,-100.0,14.2857142857,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0267417312,65.306122449,92.4198250729,-0.408163265306,0.0,0.0,0.0,0.0
p005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.2580912481,40.9879839786,28.170894526,17.2763684913,0.0,0.0,0.0,0.0
p006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.34862311233,43.3255269321,-8.4643693543,9.03981264637,0.0,0.0,0.0,0.0
p007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.33178750172,13.44873502,21.4380825566,3.54194407457,0.0,0.0,0.0,0.0
p008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.9550762467,41.8326693227,56.6306203756,7.72908366534,0.0,0.0,0.0,0.0
p009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3448275862,-100.0,-54.2857142857,28.0,0.0,0.0,0.0,0.0,-8.16462736374,58.7096774194,48.202764977,-12.5161290323,0.0,0.0,0.0,0.0
p011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.81802978418,8.0831408776,24.3154074563,-11.870669746,0.0,0.0,0.0,0.0
p012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.53408791787,8.09160305344,41.3304252999,-1.06870229008,0.0,0.0,0.0,0.0
p013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.8750813273,55.6603773585,31.8059299191,15.4716981132,0.0,0.0,0.0,0.0
p014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75862068966,30.0,31.4285714286,-25.3333333333,0.0,0.0,0.0,0.0
p015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.06768837803,36.2962962963,34.6031746032,3.7037037037,0.0,0.0,0.0,0.0
p016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0032923237,-26.1306532663,69.7056712132,-13.7688442211,0.0,0.0,0.0,0.0
p017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.32428466618,100.85106383,-4.68085106383,-10.1276595745,0.0,0.0,0.0,0.0
p018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.4771588565,-11.1111111111,59.2185592186,26.4957264957,0.0,0.0,0.0,0.0
p019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3448275862,-100.0,-42.8571428571,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94277526116,28.6863270777,40.635771735,-40.8042895442,0.0,0.0,0.0,0.0
p020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.20689655172,32.8571428571,51.8367346939,-13.7142857143,0.0,0.0,0.0,0.0
p021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25541500606,32.6633165829,-1.79468772434,-33.6683417085,0.0,0.0,0.0,0.0
p022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.844077961,41.847826087,48.1366459627,-11.3043478261,0.0,0.0,0.0,0.0
p023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9601333162,93.3085501859,18.1093998938,-57.7695167286,0.0,0.0,0.0,0.0
p024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0957854406,73.3333333333,18.0952380952,33.3333333333,0.0,0.0,0.0,0.0
p025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0608244046227,20.4884667571,37.7011048653,-27.0556309362,0.0,0.0,0.0,0.0
p026,30.0492610837,-14.2857142857,-51.0204081633,-65.7142857143,0.0,0.0,0.0,0.0,-2.6369168357,-64.7058823529,-79.8319327731,69.4117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.98704583308,-16.2790697674,59.4684385382,-5.54561717352,65.5172413793,-100.0,-100.0,-100.0
p027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.44677661169,-13.9835487662,20.8662078227,11.116333725,0.0,0.0,0.0,0.0
p028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.88467476939,-6.31458094145,46.4326718058,-11.2743972445,0.0,0.0,0.0,0.0
p029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.71786833856,62.0320855615,48.5103132162,-20.4278074866,0.0,0.0,0.0,0.0
