,ang,ang,fea,fea,ntr,ntr,sad,sad,sup,sup,hap,hap,dis,dis
,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25
,,,,,,,,,,,,,,
p001,0.0,0.0,0.0,0.0,-2.6998689384,18.8990825688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p002,0.0,0.0,-12.7272727273,89.0909090909,-3.45471521942,24.1830065359,0.0,0.0,-14.2857142857,100.0,0.0,0.0,0.0,0.0
p003,0.0,0.0,0.0,0.0,-10.3791650709,72.654155496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p004,0.0,0.0,-8.57142857143,60.0,7.71175726928,-53.982300885,-12.7109111361,88.9763779528,0.0,0.0,14.2857142857,-100.0,0.0,0.0
p005,0.0,0.0,0.0,0.0,0.348432055749,-2.43902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p006,-14.2857142857,100.0,-14.2857142857,100.0,-5.93406593407,41.5384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p007,0.0,0.0,0.0,0.0,-9.69248734916,67.8474114441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p008,0.0,0.0,0.0,0.0,-2.33766233766,16.3636363636,0.0,0.0,-20.0,140.0,-4.7619047619,33.3333333333,0.0,0.0
p009,0.0,0.0,0.0,0.0,-14.4161774299,100.913242009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p011,0.0,0.0,0.0,0.0,-12.5465838509,87.8260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p012,0.0,0.0,6.66666666667,-46.6666666667,-3.9190897598,27.4336283186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p013,0.0,0.0,14.2857142857,-100.0,-0.0855431993156,0.59880239521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p014,0.0,0.0,0.0,0.0,-2.1926910299,15.3488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p015,0.0,0.0,0.0,0.0,-2.51490795955,17.6043557169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p016,0.0,0.0,0.0,0.0,-7.15982354937,50.1187648456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p017,0.0,0.0,0.0,0.0,-11.6883116883,81.8181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p018,0.0,0.0,0.0,0.0,-2.91858678955,20.4301075269,-0.952380952381,6.66666666667,0.0,0.0,0.0,0.0,0.0,0.0
p019,6.66666666667,-46.6666666667,0.0,0.0,2.60869565217,-18.2608695652,0.0,0.0,-6.49350649351,45.4545454545,0.0,0.0,0.0,0.0
p020,0.0,0.0,0.0,0.0,-0.15037593985,1.05263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p021,-4.7619047619,33.3333333333,0.0,0.0,-7.68006366892,53.7604456825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p022,0.0,0.0,0.0,0.0,-2.1216407355,14.8514851485,0.0,0.0,0.0,0.0,-31.4285714286,220.0,0.0,0.0
p023,0.0,0.0,0.0,0.0,-9.63455149502,67.4418604651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p024,0.0,0.0,0.0,0.0,-2.28744065602,16.0120845921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p025,0.0,0.0,0.0,0.0,-1.393728223,9.75609756098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p026,0.0,0.0,0.0,0.0,-2.44770805518,17.1339563863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p027,-5.07674144038,35.5371900826,0.0,0.0,2.40844605741,-16.8591224018,-8.57142857143,60.0,14.2857142857,-100.0,14.2857142857,-100.0,0.0,0.0
p028,0.0,0.0,-12.0181405896,84.126984127,0.840336134454,-5.88235294118,-19.1919191919,134.343434343,0.0,0.0,0.0,0.0,0.0,0.0
p029,0.0,0.0,0.0,0.0,-1.99236964816,13.9465875371,6.66666666667,-46.6666666667,0.0,0.0,0.0,0.0,-3.2967032967,23.0769230769
p030,-39.8496240602,278.947368421,0.0,0.0,-2.6706231454,18.6943620178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p031,0.0,0.0,5.49450549451,-38.4615384615,-1.33492727635,9.34449093445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p032,0.0,0.0,0.0,0.0,-0.952380952381,6.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p033,0.0,0.0,0.0,0.0,-5.90414447789,41.3290113452,0.0,0.0,4.7619047619,-33.3333333333,0.0,0.0,0.0,0.0
p034,0.0,0.0,0.0,0.0,-16.4612037708,115.228426396,0.0,0.0,0.0,0.0,-42.8571428571,300.0,0.0,0.0
p035,0.0,0.0,0.0,0.0,9.11701363963,-63.8190954774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p036,0.0,0.0,0.0,0.0,4.41703143653,-30.9192200557,-1.66112956811,11.6279069767,0.0,0.0,0.0,0.0,0.0,0.0
p037,0.0,0.0,0.0,0.0,-0.669642857143,4.6875,-15.5279503106,108.695652174,0.0,0.0,0.0,0.0,-23.8095238095,166.666666667
p038,0.0,0.0,0.0,0.0,-7.23562152134,50.6493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p039,-20.0,140.0,0.0,0.0,-1.53846153846,10.7692307692,-14.2857142857,100.0,-18.3673469388,128.571428571,0.0,0.0,0.0,0.0
p040,0.0,0.0,-7.33590733591,51.3513513514,-3.26022525193,22.8215767635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p041,6.12244897959,-42.8571428571,-0.529100529101,3.7037037037,3.44827586207,-24.1379310345,0.0,0.0,1.5873015873,-11.1111111111,0.0,0.0,0.0,0.0
p042,0.0,0.0,0.0,0.0,1.96592398427,-13.7614678899,-8.57142857143,60.0,0.0,0.0,0.0,0.0,0.0,0.0
p043,0.0,0.0,0.0,0.0,-9.77443609023,68.4210526316,-28.5714285714,200.0,0.0,0.0,0.0,0.0,0.0,0.0
