,ang,ang,ang,fea,fea,fea,ntr,ntr,ntr,sad,sad,sad,sup,sup,sup,hap,hap,hap,dis,dis,dis
,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4,nan,AU15+25,AU1+4
,,,,,,,,,,,,,,,,,,,,,
p001,-88.9400921659,193.87755102,140.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.4206714944,-2.04081632653,61.6326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p002,-68.4309426871,146.324549237,109.708737864,0.0,0.0,0.0,9.09090909091,9.09090909091,-34.5454545455,-19.7823552274,1.20481927711,60.4819277108,0.0,0.0,0.0,32.7188940092,-100.0,-31.4285714286,0.0,0.0,0.0
p003,3.22580645161,26.1083743842,-28.275862069,9.67741935484,-71.4285714286,20.0,0.0,0.0,0.0,-6.57108721625,-8.99470899471,26.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p004,-100.0,585.714285714,-100.0,-7.61724044456,93.037214886,-41.512605042,0.0,0.0,0.0,-9.13656557852,43.7125748503,-2.2754491018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1066997519,5.49450549451,-63.0769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p006,0.0,0.0,0.0,-15.7894736842,0.250626566416,48.7719298246,0.0,0.0,0.0,-10.1825278384,9.81189628876,24.6975088968,0.0,0.0,0.0,0.0,0.0,0.0,3.22580645161,14.2857142857,-20.0
p007,4.11568409344,22.1674876847,-28.275862069,-22.5806451613,37.1428571429,44.0,0.0,0.0,0.0,4.46949086669,-9.12220309811,-7.46987951807,0.0,0.0,0.0,0.0,0.0,0.0,-14.990512334,14.2857142857,36.4705882353
p008,0.720325712496,9.84743411928,-9.12621359223,-13.9784946237,52.380952381,6.66666666667,-48.3870967742,71.4285714286,100.0,-48.3870967742,-23.8095238095,166.666666667,-37.0436015597,88.3830455259,52.967032967,0.0,0.0,0.0,15.1364764268,23.0769230769,-63.0769230769
