,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5,nan,AU2,AU1,AU25+26+27,AU5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651982378855,-15.4185022026,-25.9911894273,14.2857142857,-64.7577092511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p002,0.0,0.0,0.0,0.0,0.0,-7.87878787879,-15.1515151515,33.3333333333,16.0173160173,-59.595959596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13684210526,-46.9473684211,-64.6315789474,11.1578947368,-36.0,-4.0,100.0,-100.0,14.2857142857,-100.0,0.0,0.0,0.0,0.0,0.0
p003,0.0,0.0,0.0,0.0,0.0,-2.72,-100.0,108.0,-22.2857142857,49.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.2335025381,-0.507614213198,11.6751269036,10.2248005801,48.9001692047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.2924667651,13.4416543575,27.6218611521,33.1926566786,-14.9187592319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.3385518591,64.3835616438,62.0352250489,20.7715963098,-46.771037182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.4397463002,4.01691331924,87.7378435518,8.7284808215,79.2811839323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p007,0.0,0.0,0.0,0.0,0.0,22.1818181818,-100.0,-100.0,-6.49350649351,45.4545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.29482071713,21.9123505976,12.3505976096,-9.16334661355,59.3625498008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.317808219178,-30.9589041096,-55.6164383562,5.67514677104,24.9315068493,0.0,0.0,0.0,0.0,0.0,-14.6666666667,33.3333333333,-100.0,52.380952381,-100.0
p009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.112522686,-25.9528130672,-45.55353902,51.8278454758,-24.500907441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p011,0.0,0.0,0.0,0.0,0.0,-58.0397350993,3.31125827815,-44.3708609272,63.481551561,249.668874172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.8378947368,3.57894736842,-21.6842105263,55.1879699248,-2.31578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1818181818,-100.0,-72.7272727273,110.38961039,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.8187919463,-37.5838926174,-21.4765100671,30.0095877277,63.7583892617,28.0,-100.0,-100.0,14.2857142857,-100.0,0.0,0.0,0.0,0.0,0.0
p014,0.0,0.0,0.0,0.0,0.0,-12.7272727273,118.181818182,-100.0,-6.49350649351,45.4545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.25821596244,1.40845070423,-4.22535211268,9.45674044266,35.2112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
