,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9,nan,AU10+16+19+25+26,AU4,AU6,AU9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5063009637,3.94366197183,-58.4708249497,-18.3098591549,-29.014084507
p002,-0.650502661147,-40.4494382022,82.3434991974,63.2958801498,376.404494382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7655502392,-45.4545454545,-37.6623376623,-27.2727272727,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71191135734,32.0,-84.1203007519,-40.2105263158,-100.0
p003,-11.3573407202,-28.9473684211,80.4511278195,49.1228070175,205.263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.99983264999,-17.9650238474,50.4428798546,10.0158982512,-16.0572337043
p004,-15.7894736842,0.0,128.571428571,33.3333333333,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56730321379,-16.3716814159,9.22882427307,9.14454277286,9.73451327434
p005,-15.7894736842,0.0,128.571428571,33.3333333333,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.41698667269,23.6051502146,-41.1404046597,-21.8884120172,-48.4978540773
p006,26.3157894737,-70.0,37.1428571429,60.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.2718220613,46.3144963145,-78.93997894,-43.4889434889,-73.4643734644
p007,47.5547275268,-64.1592920354,-8.97597977244,18.5840707965,123.008849558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.92520775623,33.6842105263,-36.2406015038,-25.6140350877,-28.4210526316
p008,5.96026490066,-27.1523178808,18.0700094607,35.0993377483,48.3443708609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.01305374254,-1.05540897098,32.0768940822,-3.95778364116,7.65171503958
