,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5,nan,AU1,AU2,AU20+25,AU5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,0.0,0.0,0.0,0.0,0.0,17.6798883795,17.9190751445,-22.3121387283,-20.2312138728,-44.5086705202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.68014268728,168.965517241,-17.2413793103,-37.9310344828,44.8275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p002,32.4137931034,140.0,92.0,-100.0,-100.0,5.74712643678,64.7058823529,12.9411764706,-30.3921568627,7.8431372549,3.44827586207,350.0,140.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,28.6033242372,-13.6690647482,-30.9352517986,-17.9856115108,-82.7338129496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p003,0.0,0.0,0.0,0.0,0.0,12.5517241379,63.2,-46.24,-23.2,-42.4,0.0,0.0,0.0,0.0,0.0,-66.8965517241,140.0,92.0,140.0,140.0,-12.967459932,23.9436619718,-3.0985915493,-25.3521126761,116.901408451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p004,0.0,0.0,0.0,0.0,0.0,-3.53289612862,-70.5521472393,-52.8834355828,28.8343558282,69.3251533742,10.3448275862,33.3333333333,113.333333333,-33.3333333333,-100.0,-36.7450032945,-0.636942675159,65.0955414013,91.0828025478,52.8662420382,-0.689655172414,-20.0,92.0,20.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p005,0.0,0.0,0.0,0.0,0.0,-27.8934790031,60.396039604,18.8118811881,6.93069306931,107.920792079,0.0,0.0,0.0,0.0,0.0,-10.875331565,-7.69230769231,-26.1538461538,38.4615384615,-7.69230769231,-39.8119122257,118.181818182,-12.7272727273,118.181818182,9.09090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p006,0.0,0.0,0.0,0.0,0.0,-12.0223671948,-5.40540540541,14.5945945946,20.2702702703,56.7567567568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.04597701149,33.3333333333,6.66666666667,100.0,-100.0
p007,0.0,0.0,0.0,0.0,0.0,-23.2239302036,80.7228915663,27.2289156627,30.1204819277,51.8072289157,0.0,0.0,0.0,0.0,0.0,10.9511178477,-47.2527472527,-78.9010989011,58.2417582418,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p008,0.0,0.0,0.0,0.0,0.0,0.749625187406,-16.5217391304,-33.2173913043,4.34782608696,-6.08695652174,-17.2413793103,200.0,140.0,50.0,-100.0,0.0,0.0,0.0,0.0,0.0,-14.6949602122,53.8461538462,28.0,-36.9230769231,87.6923076923,0.0,0.0,0.0,0.0,0.0,-0.689655172414,37.1428571429,9.71428571429,2.85714285714,-82.8571428571
p009,0.0,0.0,0.0,0.0,0.0,9.11877394636,-60.0,-89.3333333333,28.8888888889,-2.22222222222,0.0,0.0,0.0,0.0,0.0,24.1379310345,-100.0,-100.0,50.0,-100.0,24.1379310345,-100.0,-100.0,50.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p011,0.0,0.0,0.0,0.0,0.0,7.65349032801,-31.7073170732,-66.1788617886,-20.325203252,49.593495935,10.3448275862,-100.0,-100.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,4.70219435737,-36.3636363636,1.81818181818,-54.5454545455,122.727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p012,0.0,0.0,0.0,0.0,0.0,-41.652195485,20.8633093525,45.035971223,68.345323741,89.928057554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p013,0.0,0.0,0.0,0.0,0.0,-33.1564986737,3.84615384615,22.3076923077,112.019230769,29.8076923077,0.0,0.0,0.0,0.0,0.0,15.5993431856,-23.8095238095,52.380952381,-14.2857142857,-100.0,-17.2413793103,-38.7755102041,-100.0,28.5714285714,181.632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p014,0.0,0.0,0.0,0.0,0.0,-4.98084291188,16.6666666667,-46.6666666667,6.94444444444,52.7777777778,0.0,0.0,0.0,0.0,0.0,24.1379310345,-100.0,-100.0,50.0,-100.0,7.1694368643,29.4964028777,24.3165467626,-61.1510791367,12.2302158273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p015,0.0,0.0,0.0,0.0,0.0,-5.68640208198,-54.7169811321,-23.9245283019,6.41509433962,108.301886792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p016,0.0,0.0,0.0,0.0,0.0,-0.876680303916,-11.8644067797,-45.7627118644,1.69491525424,22.0338983051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.29835082459,7.60869565217,-24.347826087,9.23913043478,23.9130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p017,0.0,0.0,0.0,0.0,0.0,-7.65880217786,34.7368421053,48.2105263158,-13.6842105263,38.9473684211,-17.2413793103,-100.0,140.0,50.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0640394089,-100.0,37.1428571429,157.142857143,-100.0
p018,0.0,0.0,0.0,0.0,0.0,32.4137931034,-100.0,-100.0,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p019,0.0,0.0,0.0,0.0,0.0,-5.38064301183,-71.0144927536,-36.6183574879,5.31400966184,108.695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.8275862069,-100.0,113.333333333,100.0,33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p020,10.3448275862,-20.0,28.0,20.0,-100.0,-6.13283962046,-15.4362416107,51.4093959732,-9.39597315436,8.72483221477,-9.71786833856,118.181818182,161.818181818,-45.4545454545,9.09090909091,0.0,0.0,0.0,0.0,0.0,-27.2294887039,96.5517241379,40.6896551724,44.8275862069,55.1724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p021,0.0,0.0,0.0,0.0,0.0,-2.53361382969,-26.7904509284,1.85676392573,1.85676392573,27.3209549072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50514216576,61.4035087719,-38.2456140351,-22.8070175439,19.298245614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p022,-58.6206896552,200.0,140.0,50.0,200.0,0.0,0.0,0.0,0.0,0.0,-33.7931034483,-100.0,-100.0,260.0,-100.0,0.0,0.0,0.0,0.0,0.0,-12.7272727273,-56.3636363636,52.1038961039,20.0,-6.49350649351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p023,0.0,0.0,0.0,0.0,0.0,-36.8790181181,47.4576271186,-26.7796610169,14.406779661,205.084745763,0.0,0.0,0.0,0.0,0.0,-3.44827586207,-100.0,-100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p024,0.0,0.0,0.0,0.0,0.0,-14.7335423197,9.09090909091,16.3636363636,9.09090909091,45.4545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.3448275862,20.0,92.0,80.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p025,0.0,0.0,0.0,0.0,0.0,-1.09335576114,17.0731707317,-53.1707317073,-12.1951219512,75.6097560976,0.0,0.0,0.0,0.0,0.0,-17.2413793103,-100.0,-100.0,100.0,100.0,-14.6949602122,10.7692307692,84.6153846154,-12.3076923077,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p026,0.0,0.0,0.0,0.0,0.0,-22.337951259,19.6480938416,-49.3255131965,30.2052785924,111.143695015,10.3448275862,60.0,28.0,-20.0,-100.0,0.0,0.0,0.0,0.0,0.0,-4.58417849899,-22.3529411765,58.1176470588,-18.8235294118,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p027,24.1379310345,-100.0,-100.0,50.0,-100.0,-5.41871921182,-0.460829493088,-51.33640553,5.06912442396,104.608294931,28.7356321839,33.3333333333,-100.0,-33.3333333333,-100.0,-5.41871921182,242.857142857,37.1428571429,-14.2857142857,-100.0,5.11958505427,10.3064066852,-43.8440111421,-58.217270195,77.1587743733,0.0,0.0,0.0,0.0,0.0,-17.2413793103,50.0,20.0,50.0,50.0
p028,0.0,0.0,0.0,0.0,0.0,9.6091954023,-36.0,-53.0666666667,1.33333333333,1.33333333333,20.3761755486,118.181818182,74.5454545455,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0,-6.63129973475,38.4615384615,-75.3846153846,15.3846153846,38.4615384615,0.0,0.0,0.0,0.0,0.0,-17.2413793103,-100.0,-100.0,50.0,200.0
p029,0.0,0.0,0.0,0.0,0.0,-2.19435736677,63.6363636364,30.9090909091,36.3636363636,-100.0,31.8007662835,-55.5555555556,6.66666666667,-44.4444444444,-100.0,0.0,0.0,0.0,0.0,0.0,-9.60212201592,50.7692307692,25.5384615385,-20.0,50.7692307692,0.0,0.0,0.0,0.0,0.0,24.1379310345,-100.0,-100.0,-100.0,200.0
p030,0.0,0.0,0.0,0.0,0.0,-5.46544909363,-24.1106719368,23.3201581028,-26.4822134387,87.3517786561,0.0,0.0,0.0,0.0,0.0,-17.2413793103,100.0,60.0,100.0,-100.0,0.665456745312,-22.8070175439,34.7368421053,36.8421052632,-71.9298245614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
