,ang,ang,ang,ang,fea,fea,fea,fea,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sup,sup,sup,sup,hap,hap,hap,hap,dis,dis,dis,dis
,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6,nan,AU12,AU25,AU6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.095890411,-59.8173515982,57.0776255708,37.3515981735,0.0,0.0,0.0,0.0
p002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,380.0,0.0,0.0,0.0,0.0,-24.2367601246,-43.9252336449,79.4392523364,30.8411214953,0.0,0.0,0.0,0.0
p003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76870748299,78.231292517,35.1473922902,-29.2517006803,0.0,0.0,0.0,0.0
p004,0.0,0.0,0.0,0.0,-46.6666666667,-100.0,-100.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.97687861272,-16.7630057803,19.0751445087,8.20809248555,0.0,0.0,0.0,0.0
p005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295790671217,-24.9146757679,11.0352673493,-0.0682593856655,0.0,0.0,0.0,0.0
p006,0.0,0.0,0.0,0.0,-46.6666666667,-100.0,166.666666667,60.0,0.0,0.0,0.0,0.0,-20.0,-100.0,-100.0,140.0,0.0,0.0,0.0,0.0,-7.48923959828,22.2381635581,120.37302726,-42.1520803443,0.0,0.0,0.0,0.0
p007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.3875968992,32.0930232558,61.2403100775,25.023255814,0.0,0.0,0.0,0.0
p008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.38658146965,-32.9073482428,-10.5431309904,28.0511182109,0.0,0.0,0.0,0.0
p009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7125748503,9.58083832335,5.38922155689,6.34730538922,0.0,0.0,0.0,0.0
p011,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.35138387485,35.7400722022,-28.7605294826,31.119133574,0.0,0.0,0.0,0.0
p012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0472440945,51.1811023622,43.6220472441,-11.5590551181,0.0,0.0,0.0,0.0
p013,0.0,0.0,0.0,0.0,24.4444444444,-100.0,-11.1111111111,-46.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.0,140.0,-100.0,92.0,-7.86516853933,80.3370786517,17.9775280899,-4.26966292135,0.0,0.0,0.0,0.0
p014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.5190615836,95.3079178886,98.2404692082,16.1290322581,0.0,0.0,0.0,0.0
p015,0.0,0.0,0.0,0.0,-31.4285714286,71.4285714286,14.2857142857,37.1428571429,45.4545454545,-100.0,-100.0,-56.3636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.2644017725,64.8449039882,74.8892171344,-4.99261447563,0.0,0.0,0.0,0.0
p016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.5609756098,58.0487804878,71.7073170732,-1.65853658537,0.0,0.0,0.0,0.0
p017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.36942675159,46.7515923567,31.4649681529,-11.949044586,0.0,0.0,0.0,0.0
p018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.2107279693,44.8275862069,90.0383141762,17.7011494253,0.0,0.0,0.0,0.0
p019,0.0,0.0,0.0,0.0,1.81818181818,-100.0,-100.0,74.5454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.360678925,39.1796322489,66.3366336634,-2.23479490806,0.0,0.0,0.0,0.0
p020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.3501849568,0.616522811344,46.9790382244,28.4340320592,0.0,0.0,0.0,0.0
p021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,140.0,-100.0,-4.0,0.0,0.0,0.0,0.0,-15.8428390368,21.6730038023,72.3700887199,7.07224334601,0.0,0.0,0.0,0.0
p022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.3157894737,87.5,92.1052631579,24.7368421053,0.0,0.0,0.0,0.0
p023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.2608695652,18.8405797101,81.6425120773,6.08695652174,0.0,0.0,0.0,0.0
p024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.8571428571,42.8571428571,68.8888888889,-6.28571428571,0.0,0.0,0.0,0.0
p025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.563002681,60.8579088472,24.3967828418,6.16621983914,0.0,0.0,0.0,0.0
p026,0.0,0.0,0.0,0.0,30.7826086957,-100.0,-100.0,-12.347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.34788937409,-14.4104803493,46.7248908297,-12.6637554585,0.0,0.0,0.0,0.0
p027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51936218679,47.6082004556,61.2756264237,-2.68792710706,0.0,0.0,0.0,0.0
p028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.93203883495,112.621359223,86.4077669903,-44.0776699029,0.0,0.0,0.0,0.0
