,ang,ang,fea,fea,ntr,ntr,sad,sad,sup,sup,hap,hap,dis,dis
,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25,nan,AU25
,,,,,,,,,,,,,,
p001,0.0,0.0,0.0,0.0,-5.83304226336,40.8312958435,0.0,0.0,14.2857142857,-100.0,0.0,0.0,0.0,0.0
p002,0.0,0.0,0.0,0.0,-2.57058575643,17.994100295,-1.47783251232,10.3448275862,0.0,0.0,0.0,0.0,0.0,0.0
p003,0.0,0.0,-3.0303030303,21.2121212121,-9.40766550523,65.8536585366,8.75576036866,-61.2903225806,0.0,0.0,0.0,0.0,0.0,0.0
p004,0.0,0.0,-28.5714285714,200.0,-5.98006644518,41.8604651163,-2.6455026455,18.5185185185,0.0,0.0,0.0,0.0,0.0,0.0
p005,0.0,0.0,0.0,0.0,-5.94668489405,41.6267942584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p006,0.0,0.0,-10.2040816327,71.4285714286,-10.176779742,71.237458194,-10.8715184187,76.1006289308,0.0,0.0,0.0,0.0,0.0,0.0
p007,0.0,0.0,-4.7619047619,33.3333333333,-8.97959183673,62.8571428571,4.20168067227,-29.4117647059,-0.952380952381,6.66666666667,0.0,0.0,0.0,0.0
p008,0.0,0.0,0.0,0.0,-9.35960591133,65.5172413793,0.0,0.0,-2.04081632653,14.2857142857,0.0,0.0,0.0,0.0
p009,0.0,0.0,0.0,0.0,-0.342857142857,2.4,-4.7619047619,33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0
p011,0.0,0.0,4.34782608696,-30.4347826087,-11.57455683,81.0218978102,0.0,0.0,-3.8961038961,27.2727272727,0.0,0.0,0.0,0.0
p012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p013,0.0,0.0,-6.49350649351,45.4545454545,-10.2742529677,71.9197707736,6.66666666667,-46.6666666667,0.0,0.0,0.0,0.0,0.0,0.0
p014,0.0,0.0,0.0,0.0,-8.45910845911,59.2137592138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p015,0.0,0.0,0.0,0.0,-5.24412296564,36.7088607595,-8.76350540216,61.3445378151,0.0,0.0,0.0,0.0,0.0,0.0
p016,0.0,0.0,0.0,0.0,-3.86904761905,27.0833333333,14.2857142857,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
p017,0.0,0.0,0.0,0.0,-6.54468684025,45.8128078818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p018,0.0,0.0,-4.7619047619,33.3333333333,-6.84273709484,47.8991596639,-11.6446578631,81.512605042,0.0,0.0,0.0,0.0,0.0,0.0
p019,0.0,0.0,-19.2608386638,134.825870647,0.707213578501,-4.95049504951,4.7619047619,-33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0
p020,0.0,0.0,0.900900900901,-6.30630630631,-2.80373831776,19.6261682243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p021,0.0,0.0,0.0,0.0,-4.3351760256,30.3462321792,-3.14769975787,22.0338983051,0.0,0.0,0.0,0.0,0.0,0.0
p022,0.0,0.0,-6.24465355004,43.7125748503,3.18367346939,-22.2857142857,14.2857142857,-100.0,7.35930735931,-51.5151515152,0.0,0.0,0.0,0.0
p023,0.0,0.0,0.0,0.0,-5.41871921182,37.9310344828,4.7619047619,-33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0
p024,0.0,0.0,1.5873015873,-11.1111111111,-4.82087571871,33.746130031,2.85714285714,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
p025,0.0,0.0,0.0,0.0,-6.43274853801,45.0292397661,5.49450549451,-38.4615384615,0.0,0.0,0.0,0.0,0.0,0.0
p026,-14.2857142857,100.0,0.0,0.0,3.9897039897,-27.9279279279,-7.18614718615,50.303030303,0.0,0.0,0.0,0.0,0.0,0.0
p027,-42.8571428571,300.0,-18.3673469388,128.571428571,-11.2244897959,78.5714285714,-4.67163168585,32.7014218009,-23.439667129,164.077669903,0.0,0.0,0.0,0.0
p028,0.0,0.0,6.66666666667,-46.6666666667,-1.18527760449,8.29694323144,5.06912442396,-35.4838709677,0.0,0.0,0.0,0.0,0.0,0.0
p029,0.0,0.0,0.0,0.0,1.45148968678,-10.1604278075,0.0,0.0,14.2857142857,-100.0,0.0,0.0,0.0,0.0
p030,0.0,0.0,0.0,0.0,2.46305418719,-17.2413793103,9.47368421053,-66.3157894737,0.0,0.0,0.0,0.0,-10.5590062112,73.9130434783
p031,0.0,0.0,-2.30414746544,16.1290322581,-1.5668202765,10.9677419355,3.8961038961,-27.2727272727,0.0,0.0,0.0,0.0,0.0,0.0
p032,0.0,0.0,4.7619047619,-33.3333333333,4.89236790607,-34.2465753425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p033,0.0,0.0,0.0,0.0,-17.2144484217,120.501138952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p034,0.0,0.0,0.0,0.0,-14.7279964617,103.095975232,11.3553113553,-79.4871794872,0.0,0.0,-8.57142857143,60.0,0.0,0.0
p035,0.0,0.0,3.65448504983,-25.5813953488,4.7619047619,-33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p036,0.0,0.0,0.0,0.0,1.43964562569,-10.0775193798,-7.16049382716,50.1234567901,0.0,0.0,0.0,0.0,0.0,0.0
p037,0.0,0.0,0.0,0.0,4.04312668464,-28.3018867925,-13.1703131703,92.1921921922,0.0,0.0,0.0,0.0,0.0,0.0
p038,0.0,0.0,0.0,0.0,6.33727175081,-44.3609022556,0.0,0.0,0.0,0.0,0.0,0.0,-16.8831168831,118.181818182
p039,0.0,0.0,0.0,0.0,-14.5180023229,101.62601626,-6.43274853801,45.0292397661,-8.57142857143,60.0,0.0,0.0,0.0,0.0
p040,0.0,0.0,-16.1904761905,113.333333333,-6.68693009119,46.8085106383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p041,0.0,0.0,-4.04889228419,28.3422459893,9.31677018634,-65.2173913043,3.8961038961,-27.2727272727,0.0,0.0,0.0,0.0,0.0,0.0
