,ang,ang,ang,fea,fea,fea,ntr,ntr,ntr,sad,sad,sad,sup,sup,sup,hap,hap,hap,dis,dis,dis
,nan,AU1+4,AU15+25,nan,AU1+4,AU15+25,nan,AU1+4,AU15+25,nan,AU1+4,AU15+25,nan,AU1+4,AU15+25,nan,AU1+4,AU15+25,nan,AU1+4,AU15+25
,,,,,,,,,,,,,,,,,,,,,
p001,0.0,0.0,0.0,-0.460829493088,-6.49350649351,14.2857142857,-2.00081665986,60.1841196778,-100.0,0.0,0.0,0.0,5.90699622958,-39.5513577332,41.9913419913,0.0,0.0,0.0,0.0,0.0,0.0
p002,0.0,0.0,0.0,0.906125407756,2.96220633299,-10.1123595506,3.22580645161,45.4545454545,-100.0,-14.590747331,61.5011323196,-37.3665480427,21.2592304703,-78.9704271632,34.9397590361,0.0,0.0,0.0,0.0,0.0,0.0
p003,-8.91840607211,13.6745607334,21.0084033613,-23.0556105284,-6.30228667038,130.674846626,0.0,0.0,0.0,3.22580645161,-27.2727272727,33.3333333333,21.8402961396,-69.001490313,13.6612021858,0.0,0.0,0.0,18.1663837012,-42.5837320574,-15.7894736842
p004,0.0,0.0,0.0,2.32819074334,-35.4940711462,53.0434782609,0.0,0.0,0.0,0.0,0.0,0.0,-8.64972880388,-15.0442477876,72.2713864307,0.0,0.0,0.0,0.0,0.0,0.0
p005,0.0,0.0,0.0,-14.4920558498,49.7964721845,-16.4179104478,32.7188940092,-37.6623376623,-100.0,-15.5425219941,-20.6611570248,118.181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p006,0.0,0.0,0.0,-11.3371703922,19.5020746888,22.8215767635,0.0,0.0,0.0,-14.1857753595,47.2070098576,-13.2530120482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p007,0.0,0.0,0.0,-28.5359801489,34.2657342657,84.6153846154,0.0,0.0,0.0,7.15074205814,-28.6553750432,15.5893536122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p008,0.0,0.0,0.0,-4.94079216007,32.5661680092,-34.1772151899,-31.1827956989,-3.0303030303,166.666666667,-16.6253101737,0.699300699301,84.6153846154,-9.36270653029,-20.177383592,85.3658536585,0.0,0.0,0.0,-3.34908567906,22.2929936306,-23.5668789809
p009,20.4301075269,-3.0303030303,-100.0,3.22580645161,1.81818181818,-20.0,0.0,0.0,0.0,2.83181482393,19.9167244969,-51.1450381679,-11.1111111111,13.1313131313,33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0
p011,0.0,0.0,0.0,-13.6476426799,32.1678321678,11.5384615385,0.0,0.0,0.0,0.0,0.0,0.0,-1.46627565982,19.0082644628,-27.2727272727,0.0,0.0,0.0,-13.732718894,43.3766233766,-8.57142857143
p012,0.0,0.0,0.0,-9.67741935484,-11.6883116883,71.4285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p013,15.5145929339,-13.4199134199,-55.5555555556,-10.3565365025,-31.1004784689,110.526315789,0.0,0.0,0.0,-24.7926267281,49.6103896104,37.1428571429,2.05278592375,-30.5785123967,45.4545454545,0.0,0.0,0.0,0.0,0.0,0.0
p014,0.0,0.0,0.0,-29.7370561128,11.8411000764,131.932773109,0.0,0.0,0.0,-6.78077682686,-37.6623376623,104.081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p015,3.22580645161,45.4545454545,-100.0,-11.5207373272,-6.49350649351,71.4285714286,0.0,0.0,0.0,6.59750364727,3.06075833714,-39.6984924623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p016,0.0,0.0,0.0,-13.4441995592,12.4788255223,46.5838509317,0.0,0.0,0.0,-14.9237858915,0.699300699301,75.8241758242,23.8709677419,-87.5324675325,37.1428571429,0.0,0.0,0.0,-22.5806451613,81.8181818182,-33.3333333333
p017,-29.6187683284,58.6776859504,45.4545454545,-8.04597701149,27.0637408568,-8.04597701149,0.0,0.0,0.0,0.0,0.0,0.0,-1.46627565982,-20.6611570248,45.4545454545,0.0,0.0,0.0,0.0,0.0,0.0
p018,0.0,0.0,0.0,-35.4838709677,118.181818182,-33.3333333333,-38.064516129,74.5454545455,60.0,-15.5425219941,58.6776859504,-27.2727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p019,0.0,0.0,0.0,-16.8458781362,41.4141414141,11.1111111111,0.0,0.0,0.0,-19.3277310924,109.014514897,-100.0,-13.9784946237,-3.0303030303,77.7777777778,0.0,0.0,0.0,-5.37634408602,-11.1111111111,48.1481481481
p020,0.0,0.0,0.0,-14.2857142857,14.6567717996,46.9387755102,0.0,0.0,0.0,-28.5359801489,34.2657342657,84.6153846154,6.73347948638,-57.6345984113,70.8737864078,0.0,0.0,0.0,13.5483870968,-12.7272727273,-46.6666666667
p021,0.0,0.0,0.0,-7.64006791171,-8.13397129187,54.3859649123,0.0,0.0,0.0,-11.0501029513,53.7072856222,-41.3711583924,0.0,0.0,0.0,-0.460829493088,24.6753246753,-42.8571428571,0.0,0.0,0.0
p022,-48.3870967742,45.4545454545,166.666666667,-21.0425122837,41.6014449127,32.4503311258,0.0,0.0,0.0,23.8709677419,-93.7662337662,48.5714285714,-2.67281105991,24.6753246753,-31.4285714286,0.0,0.0,0.0,0.0,0.0,0.0
p023,3.22580645161,45.4545454545,-100.0,3.22580645161,9.09090909091,-33.3333333333,0.0,0.0,0.0,-12.1420804639,29.9284984678,7.86516853933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p024,0.0,0.0,0.0,0.0,0.0,0.0,-55.7603686636,87.012987013,128.571428571,-26.9931472505,-0.518134715026,140.414507772,-38.064516129,-100.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0
p025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5207373272,24.6753246753,14.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p026,0.0,0.0,0.0,-0.597371565114,-11.1111111111,23.4567901235,0.0,0.0,0.0,6.22655663916,8.24524312896,-47.2868217054,1.44605116796,-2.19435736677,-3.44827586207,0.0,0.0,0.0,0.0,0.0,0.0
p027,0.0,0.0,0.0,-2.80197786673,21.0351692104,-24.0875912409,0.0,0.0,0.0,-3.98269958551,21.8892839005,-19.5530726257,-16.0196828868,-7.5500770416,96.6101694915,0.0,0.0,0.0,10.599078341,-37.6623376623,14.2857142857
p028,-22.5806451613,70.0118063754,-11.6883116883,-11.5207373272,55.8441558442,-42.8571428571,0.0,0.0,0.0,6.86051794639,10.6274007682,-54.9295774648,-1.46627565982,-20.6611570248,45.4545454545,0.0,0.0,0.0,0.0,0.0,0.0
p029,20.4301075269,-3.0303030303,-100.0,0.0,0.0,0.0,-8.55981711963,20.2576950608,7.08661417323,0.0,0.0,0.0,-27.1950437941,35.8217940999,74.8344370861,0.0,0.0,0.0,15.6626506024,-68.4556407448,44.578313253
p030,3.22580645161,-3.0303030303,-11.1111111111,-16.0729312763,18.8932806324,48.4057971014,3.22580645161,45.4545454545,-100.0,-13.1829200075,61.429322123,-44.5086705202,-22.5806451613,9.09090909091,100.0,0.0,0.0,0.0,35.4838709677,-100.0,0.0
p031,0.0,0.0,0.0,-17.1792948237,42.0718816068,11.6279069767,0.0,0.0,0.0,0.0,0.0,0.0,-6.36442894507,-23.3415233415,75.6756756757,0.0,0.0,0.0,-22.5806451613,55.8441558442,14.2857142857
p032,0.0,0.0,0.0,-19.3548387097,22.7272727273,58.3333333333,19.8316970547,-20.3162055336,-65.2173913043,-61.2903225806,118.181818182,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p033,0.0,0.0,0.0,-26.9219173952,42.735768904,60.7476635514,-6.83433570257,33.1278890601,-25.4237288136,0.0,0.0,0.0,-6.4318226796,-43.7813720022,113.496932515,0.0,0.0,0.0,0.0,0.0,0.0
p034,-14.9237858915,-56.8431568432,181.318681319,4.54921422663,-44.0559440559,57.264957265,0.0,0.0,0.0,-12.3839496459,10.6873614191,44.3902439024,-22.5806451613,9.09090909091,100.0,0.0,0.0,0.0,16.1290322581,-100.0,100.0
p035,-22.5806451613,118.181818182,-100.0,-47.3849044785,60.9885260371,133.009708738,-1.46627565982,19.0082644628,-27.2727272727,0.0,0.0,0.0,-64.027370479,133.608815427,85.8585858586,0.0,0.0,0.0,0.0,0.0,0.0
p036,0.0,0.0,0.0,-34.1111873713,53.1914893617,78.7234042553,0.0,0.0,0.0,-17.9043082918,18.6089078707,58.389261745,0.0,0.0,0.0,0.0,0.0,0.0,-5.92078399347,-61.334867664,143.037974684
p037,0.0,0.0,0.0,-1.53846153846,-26.1538461538,55.8974358974,16.1290322581,-45.4545454545,0.0,-9.01571546733,35.1981351981,-17.9487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p038,-4.71464019851,0.699300699301,23.0769230769,-17.6983435048,-25.3071253071,137.837837838,0.0,0.0,0.0,12.6099706745,-20.6611570248,-27.2727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p039,0.0,0.0,0.0,-31.8709677419,67.5636363636,40.8,0.0,0.0,0.0,-0.460829493088,24.6753246753,-42.8571428571,-1.31159163417,5.49450549451,-3.2967032967,0.0,0.0,0.0,0.0,0.0,0.0
p040,0.0,0.0,0.0,-7.81279134813,5.93799264319,29.4797687861,0.0,0.0,0.0,-28.0670561341,47.7451682176,57.4803149606,-14.3445435827,-21.083172147,112.765957447,0.0,0.0,0.0,0.0,0.0,0.0
p041,0.0,0.0,0.0,-6.15835777126,24.2975206612,-12.7272727273,0.0,0.0,0.0,-6.05291772381,0.510725229826,30.3370786517,0.0,0.0,0.0,0.0,0.0,0.0,-13.5783945986,16.7019027484,39.5348837209
p042,0.0,0.0,0.0,-45.1975353389,83.8610827375,79.7752808989,0.0,0.0,0.0,-14.9794721408,55.5041322314,-24.3636363636,0.0,0.0,0.0,0.0,0.0,0.0,8.38709677419,-56.3636363636,60.0
p043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.751215201061,34.495641345,-67.1232876712,3.22580645161,1.81818181818,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
p044,-3.22580645161,63.6363636364,-100.0,8.38709677419,-56.3636363636,60.0,0.0,0.0,0.0,-22.5806451613,49.2822966507,26.3157894737,0.0,0.0,0.0,0.0,0.0,0.0,16.1290322581,-45.4545454545,0.0
p045,0.0,0.0,0.0,-24.5657568238,-4.8951048951,135.897435897,0.0,0.0,0.0,-22.7893226676,48.1989708405,29.3800539084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.9656266526,46.6467958271,-8.19672131148,-36.6014732029,106.156048676,-5.51181102362,0.0,0.0,0.0,0.0,0.0,0.0
p047,0.0,0.0,0.0,-16.3515016685,50.4702194357,-8.04597701149,37.2147915028,-85.8093126386,-34.9593495935,8.38709677419,-18.961038961,-8.57142857143,-22.5806451613,13.7003841229,91.5492957746,0.0,0.0,0.0,10.599078341,-6.49350649351,-42.8571428571
p048,0.0,0.0,0.0,6.94368507381,-22.3420647149,5.08474576271,-3.22580645161,63.6363636364,-100.0,-11.8833572562,2.19288907814,57.3770491803,3.22580645161,-100.0,166.666666667,0.0,0.0,0.0,0.0,0.0,0.0
p049,0.0,0.0,0.0,-12.6739030729,24.0844463593,21.327014218,0.0,0.0,0.0,-8.28025477707,22.2929936306,1.91082802548,0.0,0.0,0.0,0.0,0.0,0.0,-9.67741935484,45.4545454545,-33.3333333333
p050,21.6589861751,-37.6623376623,-42.8571428571,-4.85814224641,20.9200438116,-13.2530120482,0.0,0.0,0.0,29.0322580645,-27.2727272727,-100.0,-18.2393729273,-28.632115548,146.728971963,0.0,0.0,0.0,-13.9784946237,45.4545454545,-11.1111111111
p051,0.0,0.0,0.0,-30.7114449845,53.4246575342,60.7305936073,0.0,0.0,0.0,-16.8030813674,4.20624151967,79.1044776119,-9.67741935484,-63.6363636364,166.666666667,0.0,0.0,0.0,0.0,0.0,0.0
p052,0.0,0.0,0.0,-12.6550868486,-46.8531468531,151.282051282,0.0,0.0,0.0,0.144439094848,-34.8710990502,63.184079602,-22.5806451613,-100.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
p053,12.6099706745,-20.6611570248,-27.2727272727,-29.6187683284,98.347107438,-27.2727272727,0.0,0.0,0.0,0.0,0.0,0.0,-7.09677419355,-12.7272727273,60.0,0.0,0.0,0.0,0.0,0.0,0.0
p054,0.0,0.0,0.0,-3.56536502547,-4.30622009569,26.3157894737,-14.7074904319,18.3359013867,42.3728813559,-16.6253101737,34.2657342657,23.0769230769,-29.0683005947,-12.2397155917,172.625698324,0.0,0.0,0.0,0.0,0.0,0.0
p055,0.0,0.0,0.0,-11.5207373272,24.6753246753,14.2857142857,-19.3277310924,-15.6608097785,128.571428571,-12.1420804639,-1.94075587334,66.2921348315,-7.09677419355,16.3636363636,6.66666666667,0.0,0.0,0.0,0.0,0.0,0.0
p056,0.0,0.0,0.0,-12.9738639039,16.2574651626,37.2262773723,0.0,0.0,0.0,-20.6039807824,28.1237911025,54.8936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p057,0.0,0.0,0.0,0.711710879009,15.0299557176,-31.2320916905,-11.5207373272,24.6753246753,14.2857142857,0.0,0.0,0.0,5.94227504244,-19.6172248804,5.26315789474,0.0,0.0,0.0,29.0322580645,-27.2727272727,-100.0
p058,0.0,0.0,0.0,-0.0887836638059,-2.58548790659,5.19877675841,0.0,0.0,0.0,-10.0261551874,65.1105651106,-67.5675675676,-2.96774193548,16.3636363636,-14.6666666667,3.22580645161,-27.2727272727,33.3333333333,-14.9237858915,-13.6863136863,102.197802198
p059,0.0,0.0,0.0,-4.50067606722,-32.0631464344,82.0359281437,0.0,0.0,0.0,-23.8193548387,62.3272727273,8.8,-0.689655172414,-17.2413793103,35.1724137931,0.0,0.0,0.0,0.0,0.0,0.0
p060,0.0,0.0,0.0,-18.505942275,21.7224880383,55.7894736842,4.89073881374,-20.2346041056,11.8279569892,0.0,0.0,0.0,0.358422939068,-8.41750841751,13.5802469136,0.0,0.0,0.0,0.0,0.0,0.0
p061,0.0,0.0,0.0,-25.6166982922,32.6203208556,72.5490196078,-4.71464019851,-32.8671328671,84.6153846154,2.96381201899,-24.6885094601,29.9492385787,-31.1827956989,45.4545454545,77.7777777778,0.0,0.0,0.0,-17.4193548387,45.4545454545,6.66666666667
p062,6.78531701891,0.313479623824,-35.632183908,-19.1722458917,34.4768439108,35.8490566038,0.0,0.0,0.0,7.71388499299,-5.13833992095,-30.4347826087,0.720325712496,27.0962047661,-53.3980582524,0.0,0.0,0.0,0.0,0.0,0.0
p063,-9.67741935484,9.09090909091,33.3333333333,-4.55843469064,11.5946348733,2.29508196721,0.0,0.0,0.0,8.38709677419,-56.3636363636,60.0,-12.4472217531,-38.3150880533,134.554973822,0.0,0.0,0.0,14.8803329865,-15.5425219941,-48.3870967742
p064,0.0,0.0,0.0,-15.0275373721,22.3946784922,36.5853658537,-2.67281105991,-22.7012987013,55.4285714286,-2.15713437562,4.40602342443,3.06748466258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p065,0.0,0.0,0.0,-9.70681166875,28.2253054463,-1.59453302961,0.0,0.0,0.0,0.0,0.0,0.0,-7.09677419355,-12.7272727273,60.0,0.0,0.0,0.0,-9.67741935484,-5.45454545455,60.0
p066,0.0,0.0,0.0,-16.6253101737,34.2657342657,23.0769230769,0.0,0.0,0.0,-14.0833988985,59.645232816,-36.5853658537,-0.744416873449,-32.8671328671,64.1025641026,0.0,0.0,0.0,-1.46627565982,-20.6611570248,45.4545454545
p068,0.0,0.0,0.0,-17.1792948237,52.2198731501,-6.97674418605,10.599078341,-6.49350649351,-42.8571428571,-13.9784946237,45.4545454545,-11.1111111111,2.88956603972,8.02487414865,-29.6416938111,0.0,0.0,0.0,0.0,0.0,0.0
p069,0.0,0.0,0.0,-27.9463430214,12.3312331233,121.782178218,19.1066997519,0.699300699301,-100.0,-7.59625390219,47.8005865103,-48.3870967742,-10.8207431605,-69.6202531646,183.544303797,0.0,0.0,0.0,-22.5806451613,-27.2727272727,166.666666667
p070,0.0,0.0,0.0,-25.7051931144,52.6294333469,36.3228699552,0.0,0.0,0.0,31.017369727,-66.4335664336,-38.4615384615,3.22580645161,-20.6611570248,21.2121212121,0.0,0.0,0.0,0.0,0.0,0.0
p071,-43.6950146628,98.347107438,45.4545454545,-11.5207373272,28.3422459893,7.56302521008,0.0,0.0,0.0,-15.503529622,46.2603878116,-4.70914127424,-1.93548387097,-78.1818181818,153.333333333,0.0,0.0,0.0,-48.3870967742,45.4545454545,166.666666667
p072,-32.6788218794,42.2924901186,91.3043478261,-11.7274645764,6.03228547154,49.5327102804,0.0,0.0,0.0,0.0,0.0,0.0,2.32819074334,-12.7272727273,11.3043478261,0.0,0.0,0.0,-45.889698231,52.4926686217,140.860215054
p073,0.0,0.0,0.0,-10.4838709677,24.4318181818,9.375,-10.9677419355,-21.8181818182,96.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.5207373272,24.6753246753,14.2857142857
p074,0.0,0.0,0.0,0.0,0.0,0.0,23.8709677419,-70.9090909091,6.66666666667,-22.3164152813,42.9723859758,36.5187713311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p075,-6.10844200412,20.6963249516,-6.3829787234,-6.49350649351,-37.6623376623,102.597402597,0.0,0.0,0.0,-2.16235377526,36.6633366633,-56.043956044,0.0,0.0,0.0,0.0,0.0,0.0,-19.7991114545,21.5024496462,62.874251497
p076,0.0,0.0,0.0,-7.46325634663,29.1016675632,-14.7928994083,0.0,0.0,0.0,-9.85915492958,0.384122919334,50.234741784,3.22580645161,-42.6997245179,61.6161616162,0.0,0.0,0.0,0.0,0.0,0.0
p077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.55897929706,-8.81953867028,55.223880597,0.0,0.0,0.0,0.0,0.0,0.0,32.7188940092,-100.0,14.2857142857
p078,0.0,0.0,0.0,-22.5806451613,69.95215311,-11.5789473684,19.1066997519,-32.8671328671,-38.4615384615,-15.9209157128,54.8387096774,-18.2795698925,-12.4360400445,-36.802507837,131.724137931,0.0,0.0,0.0,0.0,0.0,0.0
p079,0.0,0.0,0.0,3.63220726441,-41.5891195419,57.4803149606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p080,0.0,0.0,0.0,-7.01375075672,-20.4484523519,73.726541555,0.0,0.0,0.0,-9.36270653029,20.6208425721,10.5691056911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p081,-4.71464019851,0.699300699301,23.0769230769,4.85912617395,-25.4315304948,21.5189873418,0.0,0.0,0.0,-5.99078341014,45.4545454545,-52.380952381,7.19602977667,0.699300699301,-38.4615384615,0.0,0.0,0.0,8.38709677419,-12.7272727273,-20.0
p082,0.0,0.0,0.0,-1.40612076096,2.5641025641,2.5641025641,-13.9784946237,-51.5151515152,166.666666667,-5.098855359,40.7624633431,-48.3870967742,-34.4376634699,19.9017199017,141.441441441,0.0,0.0,0.0,19.1066997519,-32.8671328671,-38.4615384615
p083,0.0,0.0,0.0,-28.0168710458,24.6753246753,99.5157384988,0.0,0.0,0.0,0.0,0.0,0.0,1.11915734036,0.927643784787,-7.48299319728,0.0,0.0,0.0,0.0,0.0,0.0
p084,-33.6405529954,87.012987013,14.2857142857,-25.1948051948,47.3435655254,43.3766233766,0.189753320683,15.5080213904,-29.4117647059,0.0,0.0,0.0,0.0,0.0,0.0,-33.6405529954,149.350649351,-100.0,0.0,0.0,0.0
p085,0.0,0.0,0.0,-5.50868486352,-14.965034965,55.8974358974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p086,0.0,0.0,0.0,-0.29897718332,4.30155210643,-6.34146341463,0.0,0.0,0.0,-31.1827956989,93.9393939394,-11.1111111111,18.5701830863,-52.8255528256,0.900900900901,0.0,0.0,0.0,29.0322580645,-100.0,33.3333333333
p087,0.0,0.0,0.0,-24.5258550819,5.25354042942,117.085427136,0.0,0.0,0.0,-26.8943335541,80.4318848307,-8.50439882698,-53.7794896485,95.3867028494,102.985074627,0.0,0.0,0.0,0.0,0.0,0.0
p088,0.0,0.0,0.0,-9.21327454166,5.16677567037,38.1294964029,-14.990512334,41.1764705882,1.96078431373,0.0,0.0,0.0,-3.0220713073,-26.5071770335,64.2105263158,0.0,0.0,0.0,0.0,0.0,0.0
p089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8709677419,-41.8181818182,-46.6666666667,0.0,0.0,0.0,0.0,0.0,0.0
p090,0.0,0.0,0.0,8.9605734767,-51.5151515152,48.1481481481,0.0,0.0,0.0,5.01437240498,20.9720972097,-64.3564356436,22.2410865874,-42.5837320574,-36.8421052632,0.0,0.0,0.0,20.4301075269,-3.0303030303,-100.0
p091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.3870967742,45.4545454545,166.666666667,7.86516853933,-75.4851889683,97.7528089888,0.0,0.0,0.0,-29.6187683284,58.6776859504,45.4545454545
p092,20.4301075269,-51.5151515152,-11.1111111111,-2.47172182656,33.1759149941,-48.0519480519,22.4843524314,-41.3839891452,-40.2985074627,0.0,0.0,0.0,-69.0322580645,249.090909091,-100.0,0.0,0.0,0.0,-6.01493168052,-8.53513298928,46.7248908297
p093,-61.2903225806,118.181818182,100.0,1.49091894822,-22.9946524064,34.4537815126,0.0,0.0,0.0,-15.5425219941,28.9256198347,27.2727272727,-26.4367816092,-14.7335423197,163.601532567,0.0,0.0,0.0,0.981767180926,-71.5415019763,126.086956522
p094,0.0,0.0,0.0,-29.0738813736,66.0997067449,29.0322580645,-37.7185078393,48.7049263586,105.586592179,-3.89321468298,-39.8119122257,93.1034482759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p095,-22.5806451613,9.09090909091,100.0,-29.6187683284,78.5123966942,9.09090909091,0.0,0.0,0.0,9.18114143921,-16.0839160839,-17.9487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p096,7.19602977667,-32.8671328671,23.0769230769,-15.7745480326,53.4465534466,-16.4835164835,0.0,0.0,0.0,-15.246179966,58.4688995215,-28.4210526316,-40.2764976959,12.2077922078,185.714285714,0.0,0.0,0.0,0.0,0.0,0.0
