,ang,ang,ang,ang,ang,fea,fea,fea,fea,fea,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,hap,hap,hap,hap,hap,dis,dis,dis,dis,dis
,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27,nan,AU1,AU2,AU5,AU25+26+27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,0.0,0.0,0.0,0.0,0.0,14.2857142857,-100.0,-100.0,200.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6926184355,-81.4910025707,-52.6992287918,63.4961439589,-13.6246786632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p002,0.0,0.0,0.0,0.0,0.0,30.4992585269,-100.0,-69.5501730104,161.591695502,-44.6366782007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0073260073,-53.8461538462,-36.7521367521,-25.641025641,-11.1111111111,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,300.0,-100.0,60.0
p003,0.0,0.0,0.0,0.0,0.0,-64.8351648352,-100.0,23.0769230769,176.923076923,47.6923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.5068493151,-26.0273972603,-8.21917808219,4.79452054795,48.4931506849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p004,0.0,0.0,0.0,0.0,0.0,-23.8095238095,-68.0,38.6666666667,-68.0,49.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31065194157,4.73815461347,-16.2094763092,19.7007481297,-0.249376558603,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,166.666666667,-100.0,113.333333333
p005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,220.0,0.0,0.0,0.0,0.0,0.0,-21.9512195122,93.9024390244,34.1463414634,-74.3902439024,16.0975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p006,0.0,0.0,0.0,0.0,0.0,-7.59075907591,-38.6138613861,-19.4719471947,30.6930693069,18.2838283828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.5532879819,-100.0,20.6349206349,-4.7619047619,29.5238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p007,0.0,0.0,0.0,0.0,0.0,-45.5061494797,-100.0,117.218543046,162.251655629,-13.1125827815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.6367146367,-8.59950859951,-25.3071253071,38.5749385749,22.6535626536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.169544741,-10.989010989,-26.3736263736,96.1538461538,5.05494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
