,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
,ang,ang,ang,ang,ang,ang,ang,dis,dis,dis,dis,dis,dis,dis,fea,fea,fea,fea,fea,fea,fea,hap,hap,hap,hap,hap,hap,hap,ntr,ntr,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,sup,sup,ang,ang,ang,ang,ang,ang,ang,dis,dis,dis,dis,dis,dis,dis,fea,fea,fea,fea,fea,fea,fea,hap,hap,hap,hap,hap,hap,hap,ntr,ntr,ntr,ntr,ntr,ntr,ntr,sad,sad,sad,sad,sad,sad,sad,sup,sup,sup,sup,sup,sup,sup
,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup,ang,dis,fea,hap,ntr,sad,sup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,30.859375,,,,,,,39.5833333333,19.3452380952,,,,,,,,40.1041666667,,,,55.2083333333,,,,24.0885416667,,,,,,,,28.6458333333,,,12.5,,50.0,,,30.0347222222,,,,,,,,24.609375,,32.2916666667,28.4722222222,,47.9166666667,43.4027777778,,,20.4427083333,,,,,,,,37.9807692308,,,,26.3888888889,,,,20.3125,,,,,,,,32.3611111111,,16.6666666667,,,46.4285714286,,23.9583333333,,41.9642857143,,,25.0,,,,27.0833333333
p002,12.6302083333,,,,,,,10.9375,11.8055555556,,,20.8333333333,,20.8333333333,,18.75,17.6136363636,19.7916666667,,,15.625,,,,15.8854166667,,,,,,16.6666666667,,22.1153846154,,16.6666666667,13.3333333333,,39.5833333333,14.5833333333,31.25,14.5833333333,,,,26.25,12.5,,,23.5416666667,19.7916666667,25.0,18.75,,21.875,23.9583333333,,8.68055555556,10.4166666667,,,,22.9166666667,,10.4166666667,,20.8333333333,,16.6666666667,,24.3055555556,,,,15.9722222222,,6.25,,,,,,22.5961538462,18.0555555556,,,,24.5833333333,,31.25,13.75,23.9583333333,,4.16666666667,11.4583333333,,,,19.2708333333
p003,12.5,10.4166666667,,,,27.0833333333,,13.2575757576,10.4166666667,,,,,,,20.8333333333,32.6388888889,,,,32.4652777778,,,,14.453125,,,,,,,,23.046875,,,15.625,,25.0,,,18.4027777778,,,,26.0416666667,,,,19.6428571429,35.2272727273,19.7916666667,22.9166666667,,,,,13.5416666667,20.3125,,,,,,,,37.5,,,10.4166666667,18.3333333333,,,,13.28125,,,,,,27.7777777778,,27.34375,36.25,,19.7916666667,27.0833333333,14.5833333333,,,44.4444444444,20.1388888889,,,11.4583333333,,,,19.6428571429
p004,18.6197916667,,,,,,,25.0,13.7820512821,,,,,,,,29.9242424242,,,34.7222222222,38.5416666667,,,,9.72222222222,12.5,,,,,10.4166666667,4.16666666667,35.7954545455,17.7083333333,60.4166666667,19.7916666667,37.5,25.0,,,26.0416666667,,,,,,,,25.9114583333,31.0416666667,47.9166666667,54.1666666667,,,33.3333333333,,6.25,19.7222222222,,,,,,,,30.9895833333,,18.75,32.5,43.75,,,6.25,17.6388888889,,,,,,26.0416666667,,30.8712121212,22.9166666667,33.3333333333,,,32.5,,,51.0416666667,29.6296296296,,12.5,25.6944444444,,,,26.3888888889
p005,23.5677083333,,,,,,,27.0833333333,19.494047619,,,,,,,,43.9393939394,,,25.0,66.1458333333,,,,17.0572916667,,,,,,56.25,,38.141025641,58.3333333333,,57.6388888889,75.0,72.9166666667,,,43.2291666667,,,,33.3333333333,,,,23.6111111111,33.4722222222,,,,,27.0833333333,,6.25,26.6666666667,,,,,,,,40.625,,,27.0833333333,22.9166666667,,,,16.5364583333,,,,,,45.8333333333,,42.4679487179,50.0,,,,54.1666666667,,29.1666666667,38.5416666667,,,,,,2.08333333333,,29.7222222222
p006,29.7619047619,31.25,,,,16.6666666667,,15.625,29.7348484848,,,,20.8333333333,,,16.6666666667,28.7037037037,4.16666666667,,15.625,25.6944444444,,,,15.625,,,,8.33333333333,39.5833333333,54.5833333333,,26.4880952381,33.3333333333,43.75,,25.0,26.0416666667,,,29.3560606061,,,,61.4583333333,,,,31.25,31.7708333333,,20.4861111111,,,41.3194444444,,20.8333333333,12.5,,,,,,,18.75,30.6944444444,,,,,,,6.25,13.8392857143,,8.33333333333,,,,36.8055555556,,23.9583333333,27.5,,,37.5,34.375,,,36.3095238095,,,,19.6180555556,,,,23.9583333333
p007,20.3525641026,18.75,,18.75,,,,21.3541666667,20.0520833333,,,,,,,37.5,47.0238095238,16.6666666667,,,34.2261904762,,,,22.5260416667,,,,,,,,34.2447916667,,,30.8333333333,40.0,38.8888888889,,,29.8611111111,,,,37.5,,,43.75,24.5192307692,28.3333333333,45.8333333333,,,22.9166666667,24.3055555556,,18.75,16.4772727273,,,,,,,,38.6363636364,,,31.25,35.4166666667,,,,21.3541666667,,,,,,25.0,,30.8712121212,29.1666666667,31.25,,35.4166666667,38.8020833333,,,27.0833333333,,,,26.6666666667,,,,26.5151515152
p008,16.3888888889,4.16666666667,,,,,,19.7916666667,15.625,,,,,,,35.4166666667,,,43.75,,25.946969697,,,,14.9739583333,,,,,,,12.5,32.1428571429,,20.8333333333,19.7916666667,29.1666666667,18.75,,29.1666666667,18.75,31.7708333333,,18.75,,,,,23.3333333333,27.2727272727,31.25,,4.16666666667,,30.2083333333,,15.2777777778,19.9404761905,,,,,,,32.6388888889,29.1666666667,,22.9166666667,,14.880952381,,,,21.7447916667,,,,,,,,24.8106060606,,37.9166666667,,26.25,23.6111111111,,30.2083333333,27.0833333333,22.9166666667,,,,,,,18.4895833333
p009,17.6388888889,47.9166666667,,,,,,20.8333333333,17.2222222222,,,,,,,,27.3611111111,,,,29.1666666667,,,,18.6111111111,,31.25,,,,,,28.6458333333,,,22.9166666667,,29.1666666667,,10.4166666667,33.59375,,,,,,,,21.7447916667,21.7447916667,,,,,,,4.16666666667,16.6666666667,,,,,,,,31.5705128205,,,8.33333333333,27.0833333333,,,,20.0520833333,,,,,,,,31.5476190476,33.3333333333,,18.75,,38.5416666667,,,36.1979166667,26.3888888889,,,17.3611111111,,,,21.6346153846
p011,14.7222222222,,,16.6666666667,,,,13.3333333333,21.2121212121,,,,,,,,27.3148148148,,,8.33333333333,27.0833333333,,,,16.6666666667,,,,,,,,29.0277777778,,45.8333333333,26.0416666667,24.3055555556,30.9523809524,,18.75,28.4722222222,,,,22.3958333333,,,,26.2152777778,10.4166666667,32.5,29.8611111111,,16.6666666667,,,4.86111111111,15.9722222222,6.25,,,,,,,15.1785714286,,18.75,,18.4895833333,,,16.6666666667,17.0833333333,,,,,,22.9166666667,,21.875,,25.0,,31.9444444444,23.4375,,,,22.9166666667,,,17.7083333333,,,,15.1785714286
p012,25.8333333333,,,20.8333333333,,,,,22.65625,,,,,,,,48.5119047619,,31.25,,31.25,,,,20.8333333333,,,,,,39.5833333333,,46.7948717949,,70.8333333333,41.6666666667,,47.9166666667,,,39.5833333333,,,,52.0833333333,,,,50.3205128205,31.25,47.9166666667,,,,61.1111111111,,,18.6197916667,,,,,,,,45.4166666667,,,58.3333333333,55.2083333333,,,,20.9635416667,,,,,,55.7291666667,,48.125,37.5,,,,47.1726190476,,52.0833333333,,39.5833333333,,8.33333333333,38.0208333333,,,,37.9166666667
