,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
p001,f,ang,-75.1295336788,-0.518134715026,132.124352332,-100.0,-100.0,-25.3886010363,-75.1295336788,32.6424870466,-100.0,-75.1295336788,82.3834196891,115.544041451,-100.0,7.77202072539,74.0932642487,-100.0,-75.1295336788,32.6424870466,-100.0,32.6424870466,82.3834196891,-100.0,-0.518134715026,-25.3886010363,-25.3886010363,-66.8393782383,190.155440415,32.6424870466,107.25388601,32.6424870466,115.544041451,-0.518134715026,-100.0,-100.0,-100.0,32.6424870466,82.3834196891,7.77202072539,-25.3886010363,-25.3886010363,7.77202072539,7.77202072539,7.77202072539,107.25388601,-100.0,82.3834196891,107.25388601,82.3834196891
p001,f,dis,-22.3300970874,94.1747572816,-6.79611650485,-100.0,-100.0,39.8058252427,140.776699029,78.640776699,-22.3300970874,-100.0,101.941747573,-100.0,78.640776699,70.8737864078,55.3398058252,-100.0,55.3398058252,-53.3980582524,-6.79611650485,-100.0,-100.0,164.077669903,171.844660194,39.8058252427,-61.1650485437,32.0388349515,8.73786407767,-100.0,-6.79611650485,-100.0,296.116504854,-53.3980582524,47.572815534,-6.79611650485,117.475728155,32.0388349515,-100.0,-100.0,133.009708738,-6.79611650485,-100.0,-53.3980582524,-6.79611650485,-6.79611650485,-53.3980582524,-53.3980582524,-100.0,-37.8640776699
p001,f,fea,55.9566787004,-100.0,-100.0,-100.0,38.6281588448,-100.0,38.6281588448,177.25631769,38.6281588448,55.9566787004,177.25631769,55.9566787004,21.2996389892,55.9566787004,159.927797834,55.9566787004,55.9566787004,-100.0,21.2996389892,55.9566787004,-100.0,107.942238267,21.2996389892,-100.0,-100.0,-100.0,21.2996389892,38.6281588448,21.2996389892,194.584837545,-100.0,-100.0,-100.0,38.6281588448,177.25631769,55.9566787004,-100.0,-100.0,-100.0,-100.0,-100.0,194.584837545,-100.0,-100.0,21.2996389892,-100.0,21.2996389892,21.2996389892
p001,f,hap,25.9259259259,77.7777777778,-11.1111111111,-62.962962963,-25.9259259259,-100.0,107.407407407,-33.3333333333,-100.0,107.407407407,55.5555555556,-25.9259259259,40.7407407407,-40.7407407407,-62.962962963,-48.1481481481,-3.7037037037,11.1111111111,-100.0,-70.3703703704,18.5185185185,77.7777777778,-70.3703703704,-70.3703703704,-33.3333333333,18.5185185185,-55.5555555556,-25.9259259259,3.7037037037,18.5185185185,-55.5555555556,-92.5925925926,85.1851851852,11.1111111111,40.7407407407,129.62962963,-100.0,129.62962963,-25.9259259259,85.1851851852,-25.9259259259,151.851851852,-40.7407407407,-100.0,137.037037037,-100.0,18.5185185185,129.62962963
p001,f,ntr,-82.3853211009,-82.3853211009,14.495412844,67.3394495413,32.1100917431,-100.0,-100.0,-73.5779816514,-100.0,-29.5412844037,111.376146789,-29.5412844037,14.495412844,67.3394495413,14.495412844,14.495412844,-82.3853211009,-55.9633027523,67.3394495413,-100.0,-100.0,-47.1559633028,5.6880733945,-29.5412844037,40.9174311927,-3.11926605505,14.495412844,-100.0,-64.7706422018,40.9174311927,32.1100917431,190.642201835,49.7247706422,181.834862385,76.1467889908,-100.0,-64.7706422018,-29.5412844037,76.1467889908,-100.0,14.495412844,-100.0,340.366972477,5.6880733945,-38.3486238532,-64.7706422018,181.834862385,23.3027522936
p001,f,sad,95.9183673469,-100.0,-100.0,-83.6734693878,-100.0,-2.04081632653,-34.693877551,46.9387755102,-83.6734693878,-2.04081632653,46.9387755102,-83.6734693878,95.9183673469,-100.0,-100.0,63.2653061224,-34.693877551,-100.0,95.9183673469,-2.04081632653,63.2653061224,-83.6734693878,-100.0,-2.04081632653,-2.04081632653,340.816326531,-83.6734693878,-2.04081632653,-34.693877551,112.244897959,259.183673469,46.9387755102,-2.04081632653,308.163265306,144.897959184,-2.04081632653,-83.6734693878,79.5918367347,-18.3673469388,-34.693877551,14.2857142857,-83.6734693878,-34.693877551,-18.3673469388,-83.6734693878,-34.693877551,-83.6734693878,-100.0
p001,f,sup,90.3083700441,69.1629955947,-57.7092511013,-78.8546255507,48.0176211454,-43.6123348018,-100.0,-57.7092511013,26.872246696,-43.6123348018,-100.0,132.599118943,125.550660793,-1.32158590308,26.872246696,-78.8546255507,90.3083700441,40.9691629956,26.872246696,-22.4669603524,-100.0,-15.4185022026,-22.4669603524,48.0176211454,-100.0,-1.32158590308,5.7268722467,-57.7092511013,-78.8546255507,-1.32158590308,188.986784141,132.599118943,-100.0,-100.0,-100.0,-78.8546255507,-15.4185022026,69.1629955947,-36.563876652,83.2599118943,83.2599118943,12.7753303965,5.7268722467,76.2114537445,132.599118943,-100.0,-15.4185022026,-8.37004405286
p001,m,ang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,m,dis,-79.7183098592,41.9718309859,-79.7183098592,82.5352112676,62.2535211268,-100.0,-79.7183098592,156.901408451,-100.0,190.704225352,-100.0,-100.0,75.7746478873,150.14084507,102.816901408,-66.1971830986,41.9718309859,-59.4366197183,41.9718309859,28.4507042254,-100.0,1.40845070423,41.9718309859,-12.1126760563,170.422535211,-12.1126760563,-100.0,8.16901408451,-32.3943661972,-12.1126760563,177.183098592,-100.0,62.2535211268,-100.0,28.4507042254,48.7323943662,-59.4366197183,1.40845070423,-100.0,170.422535211,-59.4366197183,-52.676056338,-100.0,21.6901408451,-100.0,-100.0,-79.7183098592,177.183098592
p001,m,fea,38.7283236994,-100.0,121.965317919,-44.5086705202,-72.2543352601,-100.0,-100.0,205.202312139,-100.0,66.4739884393,-100.0,205.202312139,94.2196531792,-100.0,-100.0,-72.2543352601,-72.2543352601,38.7283236994,94.2196531792,232.947976879,343.930635838,232.947976879,-100.0,-100.0,38.7283236994,-100.0,-100.0,205.202312139,-100.0,-100.0,66.4739884393,-100.0,-100.0,66.4739884393,-72.2543352601,121.965317919,94.2196531792,-100.0,38.7283236994,-16.7630057803,232.947976879,-100.0,-44.5086705202,-100.0,-72.2543352601,-100.0,-100.0,-72.2543352601
