ident,express,id,time,cumtime,e,i,button,filename,evaluation,stopRT,choiceRT,maskNum,maskList,#
0,0,8,2015-10-25 10:59:43,176.16929,0.0,0.0,hap,img/f_hap_cut.png,HIT,14400.0,15904.0,15.0,14-33-3-47-2-23-20-39-25-10-34-19-8-29-7,8.0
0,0,17,2015-10-25 11:02:53,366.23382,0.0,0.0,hap,img/f_hap_cut.png,HIT,15559.0,16911.0,16.0,24-43-40-38-46-39-20-41-3-25-36-30-45-22-44-7,17.0
0,0,39,2015-10-25 11:10:33,826.3801,0.0,0.0,hap,img/f_hap_cut.png,HIT,18436.0,19948.0,19.0,18-29-33-11-19-20-38-41-21-2-1-30-31-16-0-12-25-32-10,39.0
0,0,49,2015-10-25 11:13:18,990.90984,0.0,0.0,hap,img/f_hap_cut.png,HIT,14745.0,15977.0,15.0,6-18-35-43-4-15-34-8-1-26-25-39-19-37-32,49.0
0,0,64,2015-10-25 11:18:10,1282.50663,0.0,0.0,hap,img/f_hap_cut.png,HIT,4071.0,5919.0,5.0,33-21-37-10-1,64.0
0,0,80,2015-10-25 11:22:38,1550.58333,0.0,0.0,hap,img/f_hap_cut.png,HIT,10246.0,11950.0,11.0,39-8-43-2-10-9-17-24-27-37-29,80.0
0,0,87,2015-10-25 11:24:36,1668.73481,0.0,0.0,hap,img/f_hap_cut.png,HIT,3978.0,4866.0,4.0,2-34-3-13,87.0
0,0,110,2015-10-25 11:31:34,2086.67609,0.0,0.0,hap,img/f_hap_cut.png,HIT,15585.0,16905.0,16.0,8-40-13-5-11-4-26-1-22-7-46-45-31-2-25-47,110.0
0,0,125,2015-10-25 11:37:07,233.52474,0.0,0.0,hap,img/f_hap_cut.png,HIT,15326.0,17030.0,16.0,28-36-31-41-27-46-5-14-45-4-15-0-37-33-34-32,125.0
0,0,130,2015-10-25 11:38:23,309.82178,0.0,0.0,hap,img/f_hap_cut.png,HIT,10763.0,11820.0,11.0,36-20-24-39-35-25-7-19-46-34-8,130.0
0,0,147,2015-10-25 11:42:42,568.93719,0.0,0.0,hap,img/f_hap_cut.png,HIT,8374.0,9966.0,9.0,34-0-24-20-36-3-32-15-42,147.0
0,0,166,2015-10-25 11:47:26,852.86824,0.0,0.0,hap,img/f_hap_cut.png,HIT,14102.0,15902.0,15.0,9-25-26-17-18-46-16-8-5-34-33-32-47-29-30,166.0
0,0,173,2015-10-25 11:49:15,961.22938,0.0,0.0,hap,img/f_hap_cut.png,HIT,8423.0,9879.0,9.0,18-8-19-6-35-44-33-13-29,173.0
0,0,190,2015-10-25 11:53:20,1206.23871,0.0,0.0,hap,img/f_hap_cut.png,HIT,1532.0,2796.0,2.0,37-42,190.0
0,0,205,2015-10-25 11:56:44,1410.76788,0.0,0.0,hap,img/f_hap_cut.png,HIT,7437.0,8829.0,8.0,33-27-44-22-12-1-11-19,205.0
0,0,213,2015-10-25 11:57:58,1484.4148,0.0,0.0,hap,img/f_hap_cut.png,HIT,7584.0,8776.0,8.0,41-46-28-33-31-40-37-17,213.0
0,1,2,2015-10-25 10:57:19,32.21639,1.0,0.0,sup,img/f_sad_cut.png,ERR,25376.0,36440.0,26.0,18-15-5-47-3-1-27-23-42-39-40-45-36-10-31-26-9-4-34-38-29-43-14-0-25-44,2.0
0,1,27,2015-10-25 11:05:47,539.4687,1.0,0.0,fea,img/f_sad_cut.png,ERR,25681.0,27753.0,26.0,32-17-12-19-9-4-0-21-22-18-2-10-38-3-34-5-39-11-36-35-44-6-27-42-29-14,27.0
0,1,38,2015-10-25 11:10:02,794.80244,1.0,0.0,fea,img/f_sad_cut.png,ERR,29443.0,31283.0,30.0,28-30-23-43-29-27-37-21-20-9-11-35-24-7-17-26-1-36-2-33-0-31-3-14-12-32-16-47-4-5,38.0
0,1,50,2015-10-25 11:13:34,1007.18549,1.0,0.0,sad,img/f_sad_cut.png,HIT,13837.0,15877.0,14.0,26-45-35-11-5-34-36-18-29-28-21-7-25-16,50.0
0,1,68,2015-10-25 11:18:47,1320.37478,1.0,0.0,fea,img/f_sad_cut.png,ERR,22848.0,23832.0,23.0,47-38-30-42-35-31-24-15-34-2-21-7-12-46-40-13-33-6-37-19-25-17-11,68.0
0,1,74,2015-10-25 11:20:55,1448.16346,1.0,0.0,fea,img/f_sad_cut.png,ERR,16570.0,18106.0,17.0,22-24-5-35-1-42-30-44-29-25-46-20-14-27-34-7-0,74.0
0,1,95,2015-10-25 11:26:25,1777.63455,1.0,0.0,fea,img/f_sad_cut.png,ERR,15826.0,16826.0,16.0,26-15-40-0-24-22-39-23-11-29-43-46-18-19-14-25,95.0
0,1,101,2015-10-25 11:28:56,1929.09419,1.0,0.0,fea,img/f_sad_cut.png,ERR,23664.0,24960.0,24.0,37-15-31-8-13-26-12-30-1-38-2-43-40-47-24-45-41-27-25-0-11-7-20-33,101.0
0,1,113,2015-10-25 11:33:38,24.20942,1.0,0.0,sad,img/f_sad_cut.png,HIT,18321.0,21137.0,19.0,15-8-34-18-32-0-11-39-37-35-28-16-20-19-12-46-29-2-47,113.0
0,1,129,2015-10-25 11:38:11,297.41289,1.0,0.0,fea,img/f_sad_cut.png,ERR,10905.0,12113.0,11.0,11-33-2-40-18-25-20-7-19-5-3,129.0
0,1,153,2015-10-25 11:44:02,648.31932,1.0,0.0,sad,img/f_sad_cut.png,HIT,9560.0,11128.0,10.0,35-29-2-10-47-25-42-32-17-27,153.0
0,1,157,2015-10-25 11:44:52,698.31948,1.0,0.0,fea,img/f_sad_cut.png,ERR,20459.0,22515.0,21.0,23-3-6-4-5-30-12-29-16-19-42-21-39-10-28-15-7-26-24-44-31,157.0
0,1,180,2015-10-25 11:50:58,1064.41431,1.0,0.0,sad,img/f_sad_cut.png,HIT,16485.0,17989.0,17.0,25-9-17-41-27-22-12-8-11-35-44-46-13-6-0-5-39,180.0
0,1,194,2015-10-25 11:53:59,1245.83468,1.0,0.0,sad,img/f_sad_cut.png,HIT,12855.0,23143.0,13.0,0-16-6-21-44-1-10-40-22-39-41-33-31,194.0
0,1,196,2015-10-25 11:54:40,1286.38338,1.0,0.0,sad,img/f_sad_cut.png,HIT,12191.0,14127.0,13.0,38-10-23-36-1-9-22-27-20-15-31-5-16,196.0
0,1,221,2015-10-25 11:59:22,1568.27416,1.0,0.0,ntr,img/f_sad_cut.png,ERR,21892.0,23132.0,22.0,35-20-6-4-12-0-44-1-21-15-24-7-27-14-47-32-28-45-43-34-8-38,221.0
0,2,11,2015-10-25 11:00:44,236.78472,2.0,0.0,ang,img/f_ang_cut.png,HIT,20908.0,22308.0,21.0,15-12-25-33-11-14-13-39-17-5-20-30-24-21-3-45-47-27-2-40-7,11.0
0,2,25,2015-10-25 11:05:21,513.84284,2.0,0.0,ang,img/f_ang_cut.png,HIT,8496.0,10216.0,9.0,17-42-23-21-11-46-30-35-29,25.0
